INFO:root:round 0	 loss: 23.862	 reward1: 0.88	 reward2: 1.50	 value: 7.549	 pos_reward_ct: 0
INFO:root:round 1	 loss: 17.954	 reward1: 0.88	 reward2: 4.00	 value: 10.622	 pos_reward_ct: 0
INFO:root:round 2	 loss: 13.164	 reward1: 0.75	 reward2: 3.00	 value: 13.634	 pos_reward_ct: 0
INFO:root:round 3	 loss: 11.060	 reward1: 0.75	 reward2: 0.50	 value: 16.822	 pos_reward_ct: 0
INFO:root:round 4	 loss: 7.999	 reward1: 0.62	 reward2: 0.50	 value: 19.633	 pos_reward_ct: 0
INFO:root:round 5	 loss: 6.480	 reward1: 0.50	 reward2: 2.50	 value: 22.647	 pos_reward_ct: 0
INFO:root:round 6	 loss: 5.461	 reward1: 1.25	 reward2: 1.50	 value: 25.974	 pos_reward_ct: 0
INFO:root:round 7	 loss: 4.923	 reward1: 0.50	 reward2: 2.50	 value: 29.008	 pos_reward_ct: 0
INFO:root:round 8	 loss: 4.860	 reward1: 0.75	 reward2: 2.00	 value: 32.289	 pos_reward_ct: 0
INFO:root:round 9	 loss: 4.898	 reward1: 0.88	 reward2: 1.00	 value: 35.559	 pos_reward_ct: 0
INFO:root:round 10	 loss: 4.886	 reward1: 0.75	 reward2: 0.50	 value: 39.099	 pos_reward_ct: 0
INFO:root:round 11	 loss: 4.998	 reward1: 0.12	 reward2: 2.00	 value: 42.587	 pos_reward_ct: 0
INFO:root:round 12	 loss: 4.996	 reward1: 0.75	 reward2: 1.50	 value: 45.296	 pos_reward_ct: 0
INFO:root:round 13	 loss: 5.144	 reward1: 0.75	 reward2: 1.00	 value: 48.690	 pos_reward_ct: 0
INFO:root:round 14	 loss: 5.149	 reward1: 0.50	 reward2: 0.50	 value: 51.919	 pos_reward_ct: 0
INFO:root:round 15	 loss: 5.225	 reward1: 0.25	 reward2: 2.50	 value: 55.172	 pos_reward_ct: 0
INFO:root:round 16	 loss: 5.334	 reward1: 0.50	 reward2: 1.00	 value: 58.489	 pos_reward_ct: 0
INFO:root:round 17	 loss: 5.553	 reward1: 0.50	 reward2: 2.00	 value: 61.364	 pos_reward_ct: 0
INFO:root:round 18	 loss: 5.551	 reward1: 0.62	 reward2: 0.00	 value: 64.112	 pos_reward_ct: 0
INFO:root:round 19	 loss: 5.660	 reward1: 0.88	 reward2: 1.00	 value: 67.099	 pos_reward_ct: 0
INFO:root:round 20	 loss: 5.797	 reward1: 0.12	 reward2: 2.50	 value: 70.372	 pos_reward_ct: 0
INFO:root:round 21	 loss: 5.942	 reward1: 0.38	 reward2: 3.50	 value: 72.940	 pos_reward_ct: 0
INFO:root:round 22	 loss: 6.283	 reward1: 0.62	 reward2: 1.50	 value: 76.241	 pos_reward_ct: 0
INFO:root:round 23	 loss: 6.203	 reward1: 0.50	 reward2: 2.00	 value: 78.878	 pos_reward_ct: 0
INFO:root:round 24	 loss: 6.217	 reward1: 0.25	 reward2: 1.50	 value: 81.260	 pos_reward_ct: 0
INFO:root:round 25	 loss: 6.377	 reward1: 0.88	 reward2: 0.50	 value: 83.868	 pos_reward_ct: 0
